epoch,train_loss,train_auc,train_points_auc,train_accuracy,test_auc,test_points_auc,test_accuracy
0,0.6894157669901848,,tensor(0.6222),tensor(0.4998),,tensor(0.7901),tensor(0.5001)
1,0.8120683097362519,,tensor(0.8878),tensor(0.7057),,tensor(0.9818),tensor(0.9000)
2,0.8146795664906502,,tensor(0.9681),tensor(0.8767),,tensor(0.9895),tensor(0.9429)
3,0.8192422033667565,,tensor(0.9781),tensor(0.9137),,tensor(0.9924),tensor(0.9575)
4,0.8201914912104606,,tensor(0.9823),tensor(0.9288),,tensor(0.9944),tensor(0.9688)
5,0.8208146550536156,,tensor(0.9854),tensor(0.9392),,tensor(0.9952),tensor(0.9747)
6,0.8207263298034668,,tensor(0.9875),tensor(0.9490),,tensor(0.9958),tensor(0.9766)
7,0.8215972453773022,,tensor(0.9890),tensor(0.9533),,tensor(0.9961),tensor(0.9771)
8,0.8207586918890476,,tensor(0.9900),tensor(0.9576),,tensor(0.9969),tensor(0.9807)
9,0.8213089069426059,,tensor(0.9910),tensor(0.9605),,tensor(0.9972),tensor(0.9839)
10,0.8183930413126945,,tensor(0.9914),tensor(0.9611),,tensor(0.9978),tensor(0.9862)
11,0.8204649299740792,,tensor(0.9919),tensor(0.9642),,tensor(0.9978),tensor(0.9883)
12,0.8207731147706508,,tensor(0.9925),tensor(0.9649),,tensor(0.9972),tensor(0.9806)
13,0.8195885909199715,,tensor(0.9928),tensor(0.9680),,tensor(0.9978),tensor(0.9862)
14,0.8208491626918316,,tensor(0.9931),tensor(0.9665),,tensor(0.9985),tensor(0.9917)
15,0.8218670486211777,,tensor(0.9936),tensor(0.9676),,tensor(0.9986),tensor(0.9920)
16,0.821380008172989,,tensor(0.9939),tensor(0.9703),,tensor(0.9988),tensor(0.9922)
17,0.8218516125619412,,tensor(0.9941),tensor(0.9696),,tensor(0.9984),tensor(0.9903)
18,0.8206897362112999,,tensor(0.9943),tensor(0.9724),,tensor(0.9987),tensor(0.9918)
19,0.8217052977919579,,tensor(0.9950),tensor(0.9744),,tensor(0.9988),tensor(0.9922)
