epoch,train_loss,train_auc,train_points_auc,train_accuracy,test_auc,test_points_auc,test_accuracy
0.0,0.7905946057856083,,0.551326334476471,0.49991172552108765,,0.5453375577926636,0.47613856196403503
1.0,0.7919701434195042,,0.5514537692070007,0.49991172552108765,,0.5447432994842529,0.47613856196403503
2.0,0.7923988367557526,,0.5519082546234131,0.49991172552108765,,0.5528908371925354,0.47613856196403503
3.0,0.7942359661996364,,0.5557056665420532,0.49991172552108765,,0.5519393086433411,0.47613856196403503
4.0,0.7997032515048981,,0.5813945531845093,0.49991172552108765,,0.5538786053657532,0.47613856196403503
5.0,0.8041170108675957,,0.6169156432151794,0.49991172552108765,,0.5553238391876221,0.47613856196403503
6.0,0.8087174929082394,,0.6367251873016357,0.49991172552108765,,0.5571240782737732,0.47613856196403503
7.0,0.8222747036218643,,0.6872884035110474,0.49991172552108765,,0.5619078278541565,0.47613856196403503
8.0,0.8360981416583061,,0.7803146243095398,0.49991172552108765,,0.565812349319458,0.47577518224716187
9.0,0.846380523866415,,0.8522663712501526,0.49991172552108765,,0.567213773727417,0.4763808250427246
10.0,0.8499935749053955,,0.884323239326477,0.5000882744789124,,0.5676897168159485,0.47601744532585144
11.0,0.8522511730670929,,0.9028593897819519,0.5004855394363403,,0.5680559873580933,0.4737160801887512
12.0,0.8537662312209606,,0.9133438467979431,0.5010151863098145,,0.5682931542396545,0.47747093439102173
13.0,0.8546015067815781,,0.919971764087677,0.5017655491828918,,0.5683799982070923,0.4779554307460785
14.0,0.8549178565979004,,0.9250432252883911,0.5027807354927063,,0.5685032606124878,0.4775920510292053
15.0,0.8565693361401558,,0.9287474155426025,0.5035310983657837,,0.5685836672782898,0.47965115308761597
